id,station_id
AUM00011231,11231
EZM00011423,11423
EZ000011464,11464
EZM00011487,11487
EZM00011518,11518
EZM00011520,11520
EZM00011603,11603
EZM00011659,11659
EZM00011723,11723
EZM00011787,11787
PL000012120,12120
PLM00012160,12160
PLM00012205,12205
PLM00012295,12295
PLM00012330,12330
PLM00012375,12375
PLM00012424,12424
PLM00012497,12497
HUM00012843,12843
HUM00012925,12925
HU000012942,12942
HUM00012982,12982
SIE00105938,13008
SIM00014015,13015
HRE00105210,13113
HR000142360,13129
HRE00105227,13219
HRE00105182,13223
BKM00014542,13242
RIE00100818,13274
HRE00105217,13334
HRE00105189,13335
BKM00014648,13348
BKM00014654,13354
MJM00013363,13363
HRE00105196,13439
MJM00013459,13459
MJM00013461,13461
MJM00013463,13463
MK000013577,13577
MKE00100915,13585
MKM00013591,13591
ALE00108905,13600
ALE00100939,13615
HRE00105210,14216
HR000142360,14236
HRE00105227,14324
HRE00105182,14330
HRE00105217,14445
HRE00105189,14447
HRE00105196,14452
ROE00108898,15015
ROE00108897,15170
ROE00108901,15260
ROM00015280,15280
ROE00108890,15292
ROE00108895,15310
ROE00108903,15335
ROE00108899,15346
ROE00100903,15410
ROE00108892,15480
IT000160220,16022
ITM00016033,16033
ITM00016052,16052
ITM00016061,16061
IT000016090,16090
ITM00016110,16110
IT000016134,16134
ITM00016148,16148
ITM00016153,16153
ITM00016179,16179
ITM00016206,16206
ITM00016219,16219
IT000162240,16224
IT000016232,16232
ITM00016252,16252
IT000162580,16258
ITM00016280,16280
ITM00016310,16310
ITM00016325,16325
ITM00016344,16344
ITM00016360,16360
ITM00016400,16400
ITM00016420,16420
ITW00033126,16459
ITM00016480,16480
ITM00016522,16522
ITM00016546,16546
IT000016550,16550
MT000016597,16597
GRM00016622,16622
GR000016641,16641
GRE00105244,16675
GRE00105240,16706
GR000167230,16723
GRM00016726,16726
GR000016734,16734
GR000016754,16754
TUM00017022,17022
TUM00017050,17050
TUM00017069,17069
TUM00017070,17070
TU000017074,17074
TUM00017084,17084
TUM00017086,17086
TU000017090,17090
TUM00017116,17116
TUM00017130,17130
TUM00017150,17150
TU000017170,17170
TUM00017203,17203
TUM00017204,17204
TUM00017220,17220
TUM00017237,17237
TU000017240,17240
TUM00017250,17250
TUM00017255,17255
CYE00115565,17607
CY000176090,17609
RSM00020069,20069
RSM00020087,20087
RSM00020292,20292
RSM00020357,20421
RSM00020667,20667
RSM00020744,20744
RSM00020891,20891
RSM00021432,21432
RSM00021432,21496
RSM00021504,21504
RSM00021636,21636
RSM00021802,21802
RSM00021824,21824
RSM00021908,21908
RSM00021921,21921
RSM00021946,21946
RSM00022028,22028
RSM00022112,22112
RSM00022113,22113
RSM00022165,22165
RSM00022212,22212
RSM00022235,22235
RSM00022249,22249
RSM00022269,22269
RSM00022282,22282
RSM00022324,22324
RSM00022349,22349
RSM00022355,22355
RSM00022408,22408
RSM00022438,22438
RSM00022446,22446
RSM00022452,22452
RSM00022471,22471
RSM00022511,22511
RSM00022518,22518
RSM00022525,22525
RSM00022541,22541
RSM00022551,22551
RSM00022559,22559
RSM00022563,22563
RSM00022573,22573
RSM00022583,22583
RSM00022602,22602
RSM00022619,22619
RSM00022641,22641
RSM00022695,22695
RSM00022707,22707
RSM00022727,22727
RSM00022676,22740
RSM00022762,22762
RSM00022768,22768
RSM00022802,22802
RSM00022820,22820
RSM00022833,22833
RSM00022837,22837
RSM00022845,22845
RSM00022892,22892
RSM00022912,22912
RSM00022913,22913
RSM00022915,22915
RSM00022917,22917
RSM00022939,22939
RSM00022954,22954
RSM00022996,22996
RSM00023032,23032
RSM00023074,23074
RSM00023207,23207
RSM00023226,23226
RSM00023256,23256
RSM00023274,23274
RSM00023305,23305
RSM00023330,23330
RSM00023365,23365
RSM00023412,23412
RSM00023418,23418
RSM00023426,23426
RSM00023472,23472
RSM00023518,23518
RSM00023527,23527
RSM00023552,23552
RSM00023631,23631
RSM00023678,23678
RSM00023711,23711
RSM00023724,23724
RSM00023734,23734
RSM00023803,23803
RSM00023849,23849
RSM00023884,23884
RSM00023891,23891
RSM00023914,23914
RSM00023955,23955
RSM00023966,23966
RSM00023975,23975
RSM00023987,23987
RSM00024125,24125
RSM00024143,24143
RSM00024329,24329
RSM00024343,24343
RSM00024382,24382
RSM00024561,24561
RSM00024598,24598
RSM00024639,24639
RSM00024652,24652
RSM00024671,24671
RSM00024738,24738
RSM00024768,24768
RSM00024817,24817
RSM00024856,24856
RSM00024923,24923
RSM00024944,24944
RSM00024951,24951
RSM00024962,24962
RSM00024966,24966
RSM00024982,24982
RSM00024988,24988
RSM00025325,25325
RSM00025400,25400
RSM00025428,25428
RSM00025551,25551
RSM00025594,25594
RSM00025677,25677
RSM00025703,25703
RSM00025777,25777
RSM00025777,25841
RSM00025954,25954
RSM00026059,26059
RSM00026063,26063
RSM00026092,26092
RSM00026099,26099
EN000026115,26115
RSM00026167,26167
RSM00026188,26188
EN000026229,26229
EN000026214,26233
EN000026242,26242
LG000026247,26247
EN000026249,26249
RSM00026268,26268
RSM00026283,26283
RSM00026285,26285
RSM00026289,26289
LG000026313,26313
LG000026335,26335
LG000026339,26339
LG000026348,26348
RSM00026359,26359
RSM00026298,26362
RSM00026378,26378
LG000026424,26424
RSM00026498,26498
LH000026518,26518
LH000026524,26524
LG000026544,26544
BOM00026554,26554
RSM00026585,26585
LH000026600,26600
BOM00026643,26643
BOM00026645,26645
BOM00026653,26653
BOM00026659,26659
BOM00026668,26668
BOM00026745,26745
RSM00026781,26781
BOM00026864,26864
BOM00026878,26878
BOM00026887,26887
BOM00026923,26923
BOM00026938,26938
BOM00026941,26941
BOM00026974,26974
RSM00026976,26976
RSM00027026,27026
RSM00027066,27066
RSM00027008,27072
RSM00027199,27199
RSM00027217,27217
RSM00027242,27242
RSM00027252,27252
RSM00027271,27271
RSM00027281,27281
RSM00027296,27296
RSM00027329,27329
RSM00027373,27373
RSM00027459,27459
RSM00027507,27507
RSM00027509,27509
RSM00027511,27511
RSM00027587,27587
RSM00027606,27606
RSM00027648,27648
RSM00027729,27729
RSM00027823,27823
RSM00027857,27857
RSM00027921,27921
RSM00027928,27928
RSM00027935,27935
RSM00027947,27944
RSM00027962,27962
RSM00028009,28009
RSM00028044,28044
RSM00028049,28049
RSM00028076,28076
RSM00028116,28116
RSM00028216,28216
RSM00028224,28225
RSM00028240,28240
RSM00028302,28302
RSM00028307,28307
RSM00028319,28319
RSM00028321,28321
RSM00028334,28334
RSM00028367,28367
RSM00028383,28383
RSM00028409,28409
RSM00028428,28428
RSM00028451,28451
RSM00028455,28455
RSM00028465,28465
RSM00028481,28481
RSM00028491,28491
RSM00028493,28493
RSM00028498,28498
RSM00028506,28506
RSM00028522,28522
RSM00028552,28552
RSM00028573,28573
RSM00028586,28586
RSM00028588,28588
RSM00028593,28593
RSM00028598,28598
RSM00028611,28611
RSM00028615,28615
RSM00028621,28621
RSM00028637,28637
RSM00028642,28642
RSM00028655,28655
RSM00028661,28661
RSM00028666,28666
RSM00028696,28696
RSM00028704,28704
RSM00028705,28705
RSM00028710,28710
RSM00028711,28711
RSM00028712,28712
RSM00028741,28741
RSM00028756,28756
KZ000028785,28785
RSM00028786,28786
RSM00028797,28797
RSM00028799,28799
RSM00028831,28831
RSM00028838,28838
KZ000028854,28854
KZ000028867,28867
KZ000028877,28877
KZ000028886,28886
RSM00028908,28908
RSM00028925,28925
KZ000028952,28952
KZ000028957,28957
KZ000028966,28966
KZ000028967,28967
KZ000028984,28984
KZ000028986,28986
KZ000028993,28993
RSM00029068,29068
RSM00029103,29103
RSM00029122,29122
RSM00029128,29128
RSM00029209,29209
RSM00029253,29253
RSM00029263,29263
RSM00029274,29274
RSM00029348,29348
RSM00029418,29418
RSM00029456,29456
RSM00029464,29464
RSM00029477,29477
RSM00029481,29481
RSM00029524,29524
RSM00029532,29532
RSM00029539,29539
RSM00029541,29541
RSM00029552,29552
RSM00029557,29557
RSM00029562,29562
RSM00029563,29563
RSM00029570,29570
RSM00029576,29576
RSM00029594,29594
RSM00029605,29605
RSM00029613,29613
RSM00029625,29625
RSM00029631,29631
RSM00029632,29632
RSM00029636,29636
RSM00029649,29649
RSM00029653,29653
RSM00029654,29654
RSM00029676,29676
RSM00029698,29698
RSM00029706,29706
RSM00029712,29712
RSM00029724,29724
RSM00029726,29726
RSM00029735,29735
RSM00029736,29736
RSM00029742,29742
RSM00029752,29752
RSM00029756,29756
RSM00029766,29766
RSM00029789,29789
KZ000029807,29807
RSM00029813,29813
RSM00029814,29814
RSM00029816,29816
RSM00029827,29827
RSM00029848,29848
RSM00029862,29862
RSM00029864,29864
RSM00029869,29869
RSM00029892,29892
KZ000029906,29906
RSM00029923,29923
RSM00029937,29937
RSM00029939,29939
RSM00029946,29946
RSM00029962,29962
RSM00030054,30054
RSM00030102,30102
RSM00030138,30138
RSM00030151,30151
RSM00030157,30157
RSM00030229,30229
RSM00030328,30328
RSM00030385,30385
RSM00030433,30433
RSM00030439,30439
RSM00030457,30457
RSM00030469,30469
RSM00030493,30493
RSM00030499,30499
RSM00030504,30504
RSM00030507,30507
RSM00030537,30537
RSM00030542,30542
RSM00030549,30549
RSM00030576,30576
RSM00030603,30603
RSM00030618,30618
RSM00030627,30627
RSM00030636,30636
RSM00030669,30669
RSM00030679,30679
RSM00030683,30683
RSM00030686,30686
RSM00030692,30692
RSM00030703,30703
RSM00030710,30710
RSM00030713,30713
RSM00030715,30715
RSM00030726,30726
RSM00030729,30729
RSM00030731,30731
RSM00030739,30739
RSM00030745,30745
RSM00030764,30764
RSM00030765,30765
RSM00030766,30766
RSM00030772,30772
RSM00030781,30781
RSM00030802,30802
RSM00030811,30811
RSM00030815,30815
RSM00030824,30824
RSM00030829,30829
RSM00030846,30846
RSM00030874,30874
RSM00030879,30879
RSM00030925,30925
RSM00030934,30934
RSM00030935,30935
RSM00030938,30938
RSM00030949,30949
RSM00030961,30961
RSM00030971,30971
RSM00030972,30972
RSM00030978,30978
RSM00031005,31005
RSM00031168,31168
RSM00031174,31174
RSM00031299,31299
RSM00031311,31311
RSM00031318,31318
RSM00031348,31348
RSM00031371,31371
RSM00031373,31373
RSM00031388,31388
RSM00031392,31392
RSM00031394,31394
RSM00031416,31416
RSM00031418,31418
RSM00031421,31421
RSM00031439,31439
RSM00031443,31443
RSM00031469,31469
RSM00031478,31478
RSM00031484,31484
RSM00031513,31513
RSM00031521,31521
RSM00031527,31527
RSM00031534,31534
RSM00031583,31583
RSM00031587,31587
RSM00031594,31594
RSM00031618,31618
RSM00031624,31624
RSM00031655,31655
RSM00031702,31702
RSM00031707,31707
RSM00031725,31725
RSM00031733,31733
RSM00031749,31749
RSM00031754,31754
RSM00031786,31786
RSM00031792,31792
RSM00031801,31801
RSM00031825,31825
RSM00031829,31829
RSM00031832,31832
RSM00031845,31845
RSM00031873,31873
RSM00031913,31913
RSM00031915,31915
RSM00031917,31917
RSM00031921,31921
RSM00031935,31935
RSM00031939,31939
RSM00031969,31969
RSM00031977,31977
RSM00031981,31981
RSM00031987,31987
RSM00031989,31989
RSM00032027,32027
RSM00032057,32057
RSM00032061,32061
RSM00032069,32069
RSM00032071,32071
RSM00032077,32077
RSM00032098,32098
RSM00032128,32128
RSM00032133,32133
RSM00032145,32145
RSM00032149,32149
RSM00032186,32186
RSM00032252,32252
RSM00032408,32408
RSM00032540,32583
RSM00032594,32594
RSM00032618,32618
BOM00033008,33008
BOM00033019,33019
BOM00033027,33027
UPM00033049,33049
BOM00033105,33105
UPM00033156,33156
UPM00033177,33177
UPM00033213,33213
UPM00033228,33228
UPM00033231,33231
UPM00033236,33236
UPM00033246,33246
UPM00033261,33261
UPM00033297,33297
UPM00033299,33299
UPM00033301,33301
UPM00033317,33317
UPM00033347,33347
UPM00033362,33362
UPM00033368,33368
UPM00033374,33374
UPM00033376,33376
UPM00033377,33377
UPM00033382,33382
UPM00033391,33391
UPM00033392,33392
UPM00033393,33393
UPM00033466,33466
UPM00033495,33495
UPM00033506,33506
UPM00033514,33514
UPM00033577,33577
UPM00033581,33581
UPM00033587,33587
UPM00033609,33609
UPM00033614,33614
UPM00033631,33631
UPM00033663,33663
UPM00033676,33676
MD000033679,33679
UPM00033723,33723
UPM00033761,33761
UPM00033777,33777
UPM00033788,33788
UPM00033833,33833
UPM00033837,33837
UPM00033862,33862
UPM00033877,33877
UPM00033910,33910
UPM00033924,33924
UPM00033929,33929
UPM00033934,33934
UPM00033945,33945
UPM00033973,33973
UPM00033976,33976
UPM00033981,33980
UPM00033981,33981
UPM00033999,33999
RSM00034027,34027
RSM00034047,34047
RSM00034063,34063
RSM00034083,34083
RSM00034116,34116
RSM00034123,34123
RSM00034139,34139
RSM00034146,34146
RSM00034152,34152
RSM00034163,34163
RSM00034172,34172
RSM00034186,34186
RSM00034213,34213
RSM00034240,34240
RSM00034267,34267
RSM00034321,34321
RSM00034357,34357
RSM00034373,34373
RSM00034391,34391
KZ000034398,34398
UPM00034401,34401
UPM00034409,34409
UPM00034415,34415
UPM00034419,34419
UPM00034422,34422
UPM00034434,34434
RSM00034445,34445
UPM00034519,34519
UPM00034537,34537
RSM00034545,34545
RSM00034578,34578
KZ000034581,34581
UPM00034607,34607
RSM00034635,34635
RSM00034644,34644
RSM00034662,34662
KZ000034691,34691
UPM00034708,34708
RSM00034720,34720
RSM00034723,34723
RSM00034730,34731
RSM00034743,34743
RSM00034747,34747
RSM00034748,34748
RSM00034785,34785
RSM00034824,34824
RSM00034825,34825
RSM00034838,34838
RSM00034845,34845
RSM00034858,34858
RSM00034861,34861
RSM00034887,34887
RSM00034915,34915
RSM00034924,34924
RSM00034927,34929
RSM00034949,34949
RSM00034954,34954
RSM00034964,34964
RSM00035015,35015
RSM00035037,35037
KZ000035067,35067
KZ000035078,35078
KZ000035085,35085
KZ000035107,35107
KZ000035108,35108
KZ000035163,35163
KZ000035173,35173
KZ000035188,35188
KZ000035191,35191
KZ000035217,35217
KZ000035234,35234
KZ000035284,35287
KZ000035302,35302
KZ000035331,35331
KZ000035344,35344
KZ000035358,35358
KZ000035376,35376
KZ000035406,35406
KZ000035416,35416
KZ000035426,35426
KZ000035430,35430
KZ000035436,35436
KZ000035478,35478
KZ000035514,35514
KZ000035522,35522
KZ000035529,35529
KZ000035532,35532
KZ000035542,35542
KZ000035549,35549
KZ000035605,35605
KZ000035633,35633
KZ000035635,35635
KZ000035671,35671
KZ000035699,35699
KZ000035721,35721
KZ000035742,35742
KZ000035746,35746
KZ000035749,35749
KZ000035791,35791
KZ000035849,35849
KZ000035907,35907
KZ000035969,35969
RSM00036020,36020
RSM00036022,36022
RSM00036034,36034
RSM00036038,36038
RSM00036058,36058
RSM00036061,36061
KZ000036126,36126
KZ000036152,36152
KZ000036208,36208
RSM00036278,36278
KZ000036358,36358
KZ000036397,36397
KZ000036418,36418
KZ000036428,36428
KZ000036487,36487
KZ000036535,36535
KZ000036546,36546
KZ000036569,36569
KZ000036622,36622
KZ000036665,36665
KZ000036686,36686
KZ000036736,36736
KZ000036761,36761
KZ000036773,36773
KZ000036786,36786
KZ000036837,36837
KZ000036859,36859
KZ000036870,36870
KG000036911,36911
KG000036938,36938
KG000036974,36974
RSM00037000,37000
RSM00037001,37001
RSM00037013,37013
RSM00037014,37014
RSM00037017,37017
RSM00037021,37021
RSM00037031,37031
RSM00037058,37058
RSM00037085,37085
RSM00037145,37145
GG000037175,37175
RSM00037193,37193
RSM00037228,37228
RSM00037235,37235
GG000037267,37267
GG000037309,37309
GG000037334,37334
RSM00037367,37367
GG000037385,37385
GG000037384,37386
GG000037386,37388
GG000037432,37432
GG000037437,37437
GG000037439,37439
RSM00037470,37470
RSM00037471,37471
GG000037483,37483
GG000037388,37492
GG000037514,37506
GG000037531,37531
GG000037535,37535
GG000037572,37572
RSM00037597,37597
GG000037602,37602
GG000037603,37603
AJ000037661,37661
AJ000037675,37675
AM000037683,37683
AM000037686,37686
AM000037704,37704
AM000037719,37719
AJ000037735,37735
AJ000037747,37747
AM000037774,37774
AM000037897,37897
AJ000037907,37907
AJ000037936,37936
AM000037958,37958
AM000037959,37959
KZ000038001,38001
KZ000038051,38051
KZ000038069,38069
KZ000038081,38081
KZ000038099,38099
UZM00038146,38146
UZM00038149,38149
KZ000038162,38162
UZM00038178,38178
KZ000038198,38198
KZ000038201,38201
KZ000038203,38203
KZ000038232,38232
UZM00038262,38262
UZM00038284,38284
KZ000038334,38334
KZ000038343,38343
KG000038352,38352
KG000038358,38358
TX000038388,38388
UZM00038396,38396
UZM00038403,38403
